Instance_ID,Location,Text
21,Brisbane,"You,s,suit"
22,Perth,"when,life,gives,you,cookies"
23,Brisbane,"naaaah,itu,dia,hahaha"
24,Melbourne,"LouisWhyAreYouAnEGG,bro,whyyy"
25,Brisbane,"Why,do,we,have,to,put,up,with,all,this,advertising,on,the,screen"
26,Melbourne,"Twt,20,creepy,kids,drawings,that,will,haunt,your,nightmares"
27,Perth,"Temp,21,5C,Wind,11,5km,h,Pressure,1019,7,hPa,Falling,slowly,Humidity,55,Rain,Today,0,0mm,HammondPark,Weather"
28,Melbourne,"In,situ"
29,Melbourne,"An,out,of,sessions,court,hearing,will,be,held,very,shortly,in,relation,to,stabbing,murder,of,17,year,old,Masa,Vukotic"
210,Perth,"Saye,laper,Betul,betul,laper,with,anandita,dcsendy,and,2,others,at,Makan,2,Cafe"
211,Sydney,"T,MINUS,24,HOURS,igsg,graduate,Surfers,Paradise,Gold,Coast"
212,Perth,"S,P,O,T,L,I,G,H,T,we,feel,it,s,a,public,service,announcement,to,let,you,all,know,that,the,amazing"
213,Brisbane,"I,never,understand,how,singers,look,so,good,in,photos,while,singing,I,would,literally,look,like,an,ant,eater,in,pain,or,something"
214,Melbourne,"Trying,to,sign,up,for,Career,Ready,Courses,I,get,redirected,to,LMS,with,error,message,that,I,cannot,enrol,myself,in,the,course"
215,Sydney,"AU,Preventing,suicide,no,greater,legacy,The,majority,of,suicides,are,believed,to,have,stressors,arising"
216,Brisbane,"One,virginal,Scottish,hunk"
217,Perth,"obvssssss"
218,Sydney,"night,all,enjoyable,evening,again"
219,Sydney,"please,share,our,piece,on,our,favourite,lifescience,books,here,biodetectives,thank,you"
220,Melbourne,"The,dorkiest,dorks,that,ever,lived"
221,Perth,"roots,It,s,confusing,for,me,twice,I,ve,expected,play,to,be,stopped,because,I,heard,the,whistle,and,it,s,just,been,guy,in,the,crowd"
222,Melbourne,"statto,certainly,not,but,slowing,it,down,I,think,he,was,fractionally,off"
223,Sydney,"I,have,finished,HouseofCards,Season,3,Let,s,all,start,a,group,DM,and,talk,every,detail,of,it,to,death"
224,Melbourne,"masters,they,usually,have,a,heap,on,sale,here,in,Melbourne,Would,you,like,me,to,grab,one"
225,Sydney,"first,shift,back,at,maccas,in,2,months,gets,put,on,fries,for,4,hours,imlovinit,jk,saveme,fml"
226,Melbourne,"wish,I,was,there,to,help,STOPKillingDolphins,helpsavethewales"
227,Perth,"Shenwari,afganistan,v,Bangladesh,CastrolCatches"
228,Brisbane,"yeah,good,point,people,in,this,community,can,be,pretty,shifty,At,least,you,re,straight,up,about,being,a,troll,lel"
229,Melbourne,"no,offense,to,you,but,I,can,wait,this,place,is,amazing"
230,Brisbane,"Nah,tuk"
231,Perth,"who,wants,to,join,my,club"
232,Perth,"ingin,membantu,silakan,salurkan,bantuan,ke,rekening,BNI,02077670,54,atau,BCA,7550141285,a,n,Desi,Triana,P,Alumni,55,angkatan,2006"
233,Brisbane,"Breakfast,Best,Hangovercure,Head,down,arse,up,and,work,it,off,No,detriment,to,Catholics,Islam,or,other,sects"
234,Brisbane,"Oh,Jamie,you,stubborn,hard,headed,Scot,OutlanderRewind"
235,Perth,"Literally,getting,anxiety,bc,I,know,I,won,t,meet,cam"
236,Perth,"Em,disco,moment,Aha,lol,had,a,great,time,tho,xoxo"
237,Brisbane,"prama,lt,3,lt,3"
238,Perth,"Josh"
239,Perth,"aesthetics,10"
240,Melbourne,"coffee,Parkdale,Beach,Cafe,amp,Kiosk"
241,Sydney,"Kwan,Happy,Valentine,s,Day"
242,Sydney,"Something,for,all,90s,kids"
243,Perth,"My,boyfriend,is,fucking,adorable,okay"
244,Sydney,"QUESTION,ARE,THE,ORANGE,POLICE,SELLING,HEAVY,DRUGS,IN,OUR,TOWN,IF,SO,WHO,ARE,THE,SELECTED,DEALERS,WORKING,FOR,THEM,WHERE,IT,COMING,FROM"
245,Brisbane,""
246,Melbourne,"Pleaseeee,Harry,Styles,harrystyles"
247,Perth,"It,s,alleged,he,killed,55yo,Angela,MacKinnon,and,tried,to,kill,his,nephew,Jesse,Henwood,perthnews"
248,Sydney,"Kate,Carnell,would,never,work,on,a,weekend,or,accept,a,pay,cut,But,she,expects,others,to,do,the,same,hypocrite,doublestandards,abc,730"
249,Brisbane,"How,to,make,all,the,love,you,need,in,30,days,or,ur,money,back"
250,Sydney,"when,if,there,is,remaking,of,the,showI,just,love,it"
251,Sydney,"You,may,enjoy,our,piece,on,Darwin,hybridisation,amp,why,creationism,is,taught,in,schools,please,RT"
252,Perth,"bro,I,m,15,minutes,late,cause,of,this,bitch"
253,Brisbane,"mcgrath,is,now,trending,in,Brisbane"
254,Perth,"I,love,u,so,so,much"
255,Melbourne,"lee,we,know,which,one,makes,us,sick,hey,Lee"
256,Sydney,"cheers,from,Australia,I,hope,you,support,49er,s,lol"
257,Perth,"So,cool"
258,Sydney,"Broad,tells,Smith,if,he,was,a,decent,bloke,that,he,should,ve,walked,on,that,one,CWC,15,AUSvENG"
259,Brisbane,"Appreciation,post,for,gears,Unfortunately,got,unlucky,today,w,broken,cable,and,raced,the,final,30km,with,two,gear,options,OceaniaChamps"
260,Melbourne,"LH,F1,Melbourne,Grand,Prix,Circuit"
261,Melbourne,"Take,Me,To,Church,by,Hozier,is,nowplaying,in,Genesis,Dandedong,Dandenong,Download,it,now,at"
262,Sydney,"babe,its,7,days,until,my,birthday,in,Sydney,6,days,its,on,a,Tuesday,and,can,I,be,Person,Of,The,Week"
263,Brisbane,"Perhaps,you,should,start,apologising,on,behalf,of,white,straight,Catholic,men,for,all,the,fuck,ups,of,the,world,then,pal,auspol"
264,Melbourne,"utterly,unfit,to,be,prime,minister"
265,Brisbane,"Telling,me,to,get,your,bags,and,walking,off,is,not,how,one,requests,assistance,I,think,the,bags,are,still,sitting,there"
266,Sydney,"first,ever,full,band,live,show,sydney,Future,Music,Festival,Sydney,2015"
267,Brisbane,"hey,could,you,tell,your,support,team,to,pick,up,phones,because,I,pay,for,internet,and,right,now,I,am,paying,for,an,orange,light"
268,Sydney,"bestbfever,hbdtome,21,feast,breakfast"
269,Sydney,"Should,have,a,hecs,style,welfare,debt,for,someone,who,has,a,above,average,house,Capital,growth,shouldn,t,be,passed,on"
270,Melbourne,"achei,ofensivo"
271,Sydney,"You,better,bootleg"
272,Sydney,""
273,Melbourne,"slightly,old,Tedtalk,based,on,the,Lance,Armstrong,reference,but,something,worth,watching,Great,for,managers"
274,Sydney,"Break,a,leg,Andrew,you,will,be,a,great,addition,to,the,team"
275,Brisbane,"Chair,of,HSBC,audit,committee,denies,she,ever,ignored,evidence,of,wrongdoing,at,the,bank,via"
276,Perth,"Met,a,nice,girl,on,tinder,think,there,s,space,for,a,relationship,cuddling"
277,Sydney,"Kogo"
278,Melbourne,"Home,Weather,Temp,14,8,C,Wind,3,8,km,h,ESE,Barometer,1017,0,mb,Falling,slowly,Humidity,79"
279,Perth,"cool,clip,dutz,cap,is,gr8,to,wear"
280,Perth,"wa,my,Sunrise,in,Gozzy,at,6,10"
281,Sydney,"Big,fucking,metadata,bigdata,hadoop"
282,Perth,"I,m,at,The,Standard,in,Northbridge,WA,WA"
283,Sydney,"Kiwi,that,s,what,we,talking,about"
284,Brisbane,""
285,Sydney,""
286,Sydney,"D,Publishing,can,we,understand,something,here,I,didn,t,say,anything,about,Race,other,then,how,the,term,RACE,IN,CONTEXT,OF,Jews,is,used"
287,Melbourne,"Incident,Dorrington,Av,Reservoir,Initiated,1,Appliance,Timeline"
288,Perth,"selfie,Swanbourne,Nudist,Beach"
289,Sydney,"haha,no,worries,there,ll,be,a,soundcloud,stream,later,too"
290,Brisbane,"cont,If,you,or,anyone,you,know,are,keen,to,help,please,contact,Wishlist,on,5470,6598,or,sc,wishlist,qld,gov,au"
291,Sydney,"the,pain,itself,is,it,sharp,when,you,move,your,knee,or,kind,of,a,dull,all,the,time,with,spikes"
292,Perth,"exactly"
293,Perth,"This,is,H,E,A,V,E,N,Koko,Black,Claremont,Quater"
294,Perth,"i,have,a,lot,to,be,thankful,for,thank,you,lord"
295,Sydney,"And,that,was,a,tempest,bump,out,Thank,you,to,the,fantastic,Rangers"
296,Brisbane,"Been,trying,forever,to,get,cams,follow,Hope,today,is,the,day,CamsFollowingSpree,x269"
297,Brisbane,"like,i,had,my,group,of,friends,we,were,all,the,odd,types"
298,Brisbane,"I,blogged,about,my,fave,booktubers,last,week,ft,mannering,go,check,it,and,them,out"
299,Melbourne,"Yoicks,why,do,500,people,favourite,your,tweets,even,if,you,don,t,say,anything,earth,shattering"
2100,Perth,"I,m,at,Curtin,University,in,Bentley,WA"
2101,Perth,"quote,this,with,your,favorite,emoji,if,you,d,like,to,be,added,to,zallchat,on,this,week"
2102,Sydney,"My,first,born,child,is,off,to,university,this,week,He,grew,up,so,fast,such,mixed,emotions"
2103,Sydney,"3,3,that,they,were,exhausting,amp,emotionally,difficult,to,conduct,defence,case,amp,he,would,take,a,months,holiday,after,each,to,recover"
2104,Melbourne,"Pleaseeee,Harry,Styles"
2105,Perth,"The,PG,we,need,is,or,some,other,assist,minded,point,guard,with,a,threatening,3pt,shot,RedNation,HTOWN,Pursuit"
2106,Brisbane,"Tech,Suitcase,with,e,scooter,can,help,you,make,it,to,your,flight,on,time,brisbane"
2107,Perth,"R,u,on,The,New,One,this,year"
2108,Perth,"Last,night,Red,wines,and,bourbons,Today,Berocca,coffees,and,H2O"
2109,Melbourne,"Can,t,wait,to,bump,into,you,for,literary,hangs,at,Adlww,No,mad,sleep,deprived,rushing,around,Just,lit,bliss"
2110,Melbourne,"YOUR,PET,ANGEL"
2111,Sydney,"Sydney,Chinese,New,Year,parade,2015,Cap,Goh,MeH,bring,it,on,Lol"
2112,Sydney,"right,Attack,dogs,amp,Brandis,unsuited,to,be,nation,s,leader,and,AG,IStandWithGillianTriggs"
2113,Perth,"j,hennessy,still,smell,of,smoke,and,some,smoke,in,area"
2114,Perth,"Wish,everyone,retained,their,innocence,liam,tomasi,stripback,fifa,movienights,oldfashioned,fun"
2115,Sydney,""
2116,Melbourne,"such,a,wonderful,human,being,and,he,just,nails,it,every,single,time,Thanks,for,posting,this"
2117,Melbourne,"DontDoYourDash,because,EverybodyScoresEventually"
2118,Brisbane,"quick,interruption,but,thank,u,for,800,xx,vote,5sos,KCA"
2119,Brisbane,"How,to,Clean,Your,Pearls"
2120,Brisbane,"I,just,had,the,same,thing,happen"
2121,Melbourne,"Already,been,checked,by,a,few,times,There,s,no,cable,running,on,my,street"
2122,Brisbane,"Tambok,na,ko"
2123,Sydney,"Last,photo,from,this,shoot,Be,sure,to,check,out,my,website,for,more,photos,vsco,vscocam,style"
2124,Melbourne,"REMEMBER,WHEN,LUKE,WISHED,ME,A,HAOOT,BEIRDAY,AND,HW,WAS,LIKE,happy,birthday,to,a,special,girl,STOP"
2125,Melbourne,"Thank,you,backers,7,864,pledged,A,10,Milestone,Kickstarter"
2126,Perth,"u,daily,dose,of,vomy"
2127,Melbourne,"Only,13,hours,RT,Gilmour,I,m,counting,on,to,tweet,a,lot,for,the,next,13,hours,to,keep,me,awake,tonight,xx"
2128,Perth,"Why,is,it,Bali,Bombers,who,murdered,202,people,including,88,Australians,r,in,jail,4,life,but,2,guys,9yrs,in,prison,rehabilitated,r,executed"
2129,Sydney,"WOW,MT,Arranque,por,casa,martin,PuertoRico,PremioLoNuestro"
2130,Brisbane,"Andrea,Pirlo,Ungkap,Ganjalan,Juventus,Di,Eropa"
2131,Perth,"ben,how,can,I,watch,online"
2132,Brisbane,"I,want,my,cataccino,and,I,want,it,NOW"
2133,Sydney,"123,poor,nate,dog,It,must,be,gone,to,a,bad,place,when,even,your,throwing,in,the,towel,Campbell,johnmagee,natedog"
2134,Melbourne,"I,have,the,cutest,dog"
2135,Perth,"Yup,UR,right,fukorfdweebidiotboyLibtatrd,is,the,only,approach,and,hey,ex,M8"
2136,Melbourne,"Looking,for,something,to,do,on,the,long,weekend,check,this,out"
2137,Sydney,"53,of,employees,in,the,financialservices,industry,are,women,in,Australia,says,Loane"
2138,Sydney,"Better,late,than,ugly,Sydney,Australia"
2139,Perth,"Akhirnya,dpt,baju,warna,violet,with,Tiba,at,Jacqui,E"
2140,Sydney,"I,m,at,Vaucluse"
2141,Brisbane,"Beau,knows,is,too,good"
2142,Perth,"Don,t,find,elly,sharp,attractive,anymore"
2143,Perth,"AU,Great,initiative,love,this"
2144,Melbourne,"MY,MOTHER,DOESNT,UNDERSTAND"
2145,Melbourne,"Perso,la,sim,del,telefono,Sostituita,gratis,con,una,nuova,5,minuti,costo,0,e,tutto,il,credito,sopra,Fantastico,optus,australia"
2146,Melbourne,"omg,pls"
2147,Brisbane,"If,you,have,any,trouble,removing,cars,or,junk,cars,scrap,metals,remember,us"
2148,Melbourne,"haha,my,eyes,are,fucked,everyday,mate,out,on,beers,now,and,I,m,up,for,work,at,4,30am"
2149,Perth,"The,Shorten,Redemption,abbottmovies"
2150,Perth,"The,local,charity,muggers,are,getting,better,Whoa,Those,eyes,So,beautiful,Have,they,got,you,in,trouble,already,pitch"
2151,Sydney,""
2152,Brisbane,"Maud,assumption,correct"
2153,Sydney,"Instant,elegance,Canalside,Interiors,Key,Largo,Display,Unit"
2154,Brisbane,"I,want,to,be,stranded,with,you,Oh"
2155,Melbourne,"A,66,Well,done,girls,MKR"
2156,Melbourne,"If,only,my,friends,knew,how,badly,I,want,to,end,it,all"
2157,Melbourne,"Oh,angin,sampaikan,rinduku,padanya,yang,sedih,pilu"
2158,Sydney,"More,bulk,billing,not,less,will,lead,to,long,term,auspol,medical,cost,control,but,more,work,is,needed,on,pathology,amp,imaging,controls"
2159,Sydney,"nisha,merhi,TRYING,TO,BREATHE"
2160,Melbourne,""
2161,Sydney,"0"
2162,Melbourne,"so,being,killed,over,a,parking,spot,is,being,a,Martyr,good,to,know"
2163,Melbourne,"no,worries,if,time,frees,up,in,the,coming,weeks,let,us,know,cc,MSP"
2164,Brisbane,"I,ve,listened,to,this,way,2,much"
2165,Melbourne,"Campfire,chocolate,firing,up,at,the,Brew,House,150,Errol,Street,North,Melbourne"
2166,Melbourne,"Happy,International,Women,s,Day,to,all,the,wonderful,ladies,May,your,better,half,give,you,a,special"
2167,Perth,"YOU,LITTLE,SHIT,FUCKNBUII"
2168,Melbourne,"I,have,a,head,to,head,bet,with,for,Black,Caviar,Lightning,He,s,Lankan,Rupee,I,m,Deep,Field,At,stake,a,Flowerdrum,lunch"
2169,Perth,"PLEASE"
2170,Melbourne,"WHATS,the,link,for,spn"
2171,Melbourne,"absolutely"
2172,Melbourne,"awww,congrats,girl,You,deserve,this,follow"
2173,Melbourne,"NAO,VEIII"
2174,Melbourne,"Bahahaha,that,hair,is,worse,than,mongthors,mkr"
2175,Sydney,"Don,t,worry,i,blocked,that,little,bitch,anyway"
2176,Perth,"I,was,exiting,my,room,and,then,my,phone,flashed,when,I,got,a,notification,My,life,flashed,before,my,eyes"
2177,Sydney,"hay,dos,franceses,durmiendo,raja,en,el,patio,de,la,casa,lo,que,hace,la,ebriedad"
2178,Melbourne,"can,they,hit,threes,yet"
2179,Brisbane,"Si,Rustom,Hahahahahahahaha"
2180,Melbourne,"But,is,CSG,and,more,coal,the,best,way,now,Nationals,support,environmental,degradation"
2181,Sydney,"ran,dini,lideri,lkedeki,yksek,oranda,kaaktan,arm"
2182,Melbourne,"oh,omg,something,must,be,going,around"
2183,Sydney,"Kiwi,MDMonday,2u"
2184,Sydney,"Geluksmomentje,op,Vrijdag,de,Dertiende,thinkhappythoughts,gelukis,cheesecake,flatwhite,sydney"
2185,Sydney,"From,devices,to,the,programmable,world,NokiaNetworks,transforms"
2186,Perth,"How,are,you,soooo,amazing,Please,tell,me"
2187,Perth,"Oh,sweetheart,I,can,out,bitch,you,any,day,of,the,week"
2188,Brisbane,"Valium,to,slow,them,down"
2189,Melbourne,""
2190,Sydney,"88,yes,indeed"
2191,Melbourne,"stop,torturing,please,choose,me,please,I,beg,you"
2192,Melbourne,"Some,birthday,babes,at,Rooftop"
2193,Sydney,"I,don,t,like,Beyonc,OffendEveryoneIn,4Words"
2194,Melbourne,"Just,remember,when,Crayonpop,teasers,it,s,just,that,Here,is,Uh,ee,from,that,you,got,little,of,the,craze,dance"
2195,Perth,"Celebrating,valentinesday,early,at,the,opening,of,the,Curtin,Outdoor,Community,Cinema,Curtin"
2196,Melbourne,"are,you,rockin,out,too"
2197,Perth,"terryfied,you,dont,have,a,proper,eletrical,source,whats,the,point,of,living"
2198,Melbourne,"How,will,history,judge,us,for,our,detention,policies,via"
2199,Sydney,""
2200,Perth,"improved"
2201,Sydney,"I,M,SO,GLAD,AND,PROUD,AND,HAPPY,Oscars"
2202,Melbourne,"Cowboys,Re,Sign,Hornsey,As,Possible,Competition,For,Restricted,FA,Jones,Aussiesdoitbetter"
2203,Sydney,"BREAKING,Also,prop,new,level,playing,field,register,for,agri,buyers,to,ensure,foreigners,are,paying,their,way,ausbiz,2,2"
2204,Brisbane,"San,Churros,bhai"
2205,Sydney,"dejalosquietosestar"
2206,Melbourne,""
2207,Melbourne,"Chris,Meloni,Back,on,Law,amp,Order,SVU,thanks,DieHards"
2208,Brisbane,"sedih,sangat,cita,ni,haa"
2209,Brisbane,"Photos,by,me"
2210,Melbourne,"owh,sekejap,je,kos,apa"
2211,Brisbane,"Yes,pretty,waterlogged,Yeppoon,and,Rocky,look,pretty,devastated,Some,ppl,won,t,know,yet,b,c,they,evac,d,Depressed,area,2"
2212,Sydney,"this,is,why,x,box,and,Netflix,was,invented"
2213,Melbourne,"Pleaseeee,Harry,Styles,harrystyles"
2214,Perth,"So,grateful,that,brought,her,RolodexOfHate,to,Perth,MyQueen,Astor,Theatre,Perth"
2215,Melbourne,"ngntoknyeeee"
2216,Sydney,"WA,Nobody,s,ever,challenged,Sea,World,Village,Roadshow,about,using,dolphins,as,performing,slaves,Please,speak,up"
2217,Brisbane,"I,m,so,glad,I,m,not,scared,of,spiders,But,I,know,a,girl,who,is"
2218,Perth,"young,00,oh,that,makes,more,sense"
2219,Brisbane,"logic,would,dictate"
2220,Sydney,"Drinking,a,Bleaching,Blonde,Ale,For,Everybody,by,at"
2221,Melbourne,"Hi,there,thanks,heaps,for,the,follow,unsignedartist"
2222,Melbourne,"Please,could,help,me,win,a,DM,with,Harry,Styles,giving,FV,and,RT,this,tweet,thanks"
2223,Sydney,"ZaynPL,Nie,bd,si,czu,jak,na,spacerze,bo,nie,bd,chodzi,ale,jeli,chcesz,to,okay"
2224,Melbourne,"best,dancer,of,generation"
2225,Brisbane,"Need,a,team,for,this,weeks,5k"
2226,Sydney,"she,follows,what,her,heart,told,her,wait,wait,your,heart,can,t,speak"
2227,Melbourne,"Congrats,to,the,boys,on,Saturday,in,NABChallenge,in,Ballarat,Vs,Melbourne,Gallant,in,defeat,as,I,read,tweeting,back,amp,so"
2228,Brisbane,"DebraSinclair,absolute,pleasure"
2229,Melbourne,"Come,on,Liverpool"
2230,Perth,"Crabbyqanda,QandA"
2231,Melbourne,"Styles,yea,walking,over,to,the,movies,bit"
2232,Brisbane,"89,Out,of,interest,have,you,listened,to,the,clip,Takes,15,mins,Obviously,too,much,to,go,thru,here,but,it,s,pretty,balanced"
2233,Sydney,"I,ll,drown,you,then"
2234,Brisbane,"Until,the,current,owners,amp,board,fk,off,I,have,no,rugby,league,club,to,support"
2235,Perth,"yuk,yuk,yuk,annnd,YUK,i,feel,sorry,for,you,and,your,husbands,future,kids,god,forbid,it,may,look,like,your,husband"
2236,Melbourne,"2402201,5,Melbourne,Victoria,Australia"
2237,Perth,"Army,thank,you,very,much,for,playing,music,on,your,Radio,station,We,are,so,happy,and,very,enjoyable"
2238,Melbourne,"Lyon,Housemuseum,Dining,room,Lyon,Housemuseum"
2239,Melbourne,"try,getting,your,drivers,to,make,announcements,sat,in,silence"
2240,Sydney,"She,sah,cute,phoenixss,12,kitty,kittylove,kittychillin,sahcute,loveher,mafavourite"
2241,Brisbane,"Pork,pies,at,porkstars,divine,Thankyou,Javier,Moda,Restaurant,Brisbane"
2242,Brisbane,"Former,officer,Jeffrey,Sterling,guilty,of,all,charges,against,him,under,the,Espionage,Act"
2243,Melbourne,"I,still,have,chocolates,and,internet,so,I,m,ok"
2244,Brisbane,"In,Cinema,2,Chappie,at,Balmoral,Cineplex"
2245,Perth,"7,30,pako,uuwi,e,hahahaa,Ocge,magdala,ka,Pati,kanin,HAHAHAHA,kilawin,gsto,ko,at,kare,kare,lahat"
2246,Melbourne,"Incident,Heidelberg,Initiated,1,Appliance,Timeline"
2247,Perth,"ofLegend,thanks,for,the,follow"
2248,Perth,"Why,are,my,tweets,beiNG,DELETED"
2249,Brisbane,"goin,on,holiday,gardening,playing,scrabble,amp,few,other,things,Pls,tell,me,a,little,bout,urself,u,appear,so,1,demensional"
2250,Melbourne,"I,m,A,Mover,by,Free,is,nowplaying,in,Genesis,Dandedong,Dandenong,Download,it,now,at"
2251,Perth,"does,not,support,the,DEREGULATION,OF,AUST,S,UNIVERSITY,EDUCATION,SYSTEM,thats,saying,NO"
2252,Melbourne,"NowPlaying,EDITOR,S,PICK,N,MIX,Lay,Me,Down,Remix,psclick"
2253,Sydney,"Some,wacky,house,designs,here"
2254,Melbourne,"I,don,t,feel,like,studying,I,want,to,throw,up,Big,time,I,just,want,read,more,novels,in,bed,That,s,all"
2255,Sydney,"Happy,Birthday,I,hope,your,day,is,as,deadly,as,you,are,X"
2256,Perth,"your,kidding"
2257,Sydney,"Thank,you,John"
2258,Melbourne,"He,who,speaks,without,modesty,will,find,it,difficult,to,make,his,words,good,Confucius"
2259,Brisbane,"I,made,this,for,you,guys"
2260,Brisbane,""
2261,Brisbane,"The,best,gift,you,can,give,for,Valentines,Day,is,YOU,be,creative,each,year,not,the,same,boring,routine,unless,you,like,that"
2262,Sydney,"May,mga,tao,talaga,na,hindi,pa,natin,kilala,kinaiinisan,na,kahit,wala,namang,ginagawa,sayo,Hahaha,demmet"
2263,Perth,"Happy,five,months,baby,can,t,wait,for,our,date,at,subway"
2264,Sydney,""
2265,Sydney,"workplacewellbeing,programs,keep,employees,loyal,amp,strengthens,positive,view,of,their,employer"
2266,Melbourne,"I,LOVE,ONE,DIRECTION,SO,MUCH,WHATEVER,OK,ILY"
2267,Sydney,"No,fajitas,amp,tequila,shots,tonight,at,CafePaci,Date,night,with,liberry,Petanen,Cafe"
2268,Melbourne,"Work,appears,to,be,attempting,to,make,things,more,difficult,for,me,at,the,end,Good,Fuck,em"
